| 질문 | 출처(나라/표본 수) | 퍼센트 |
| 미국 밀레니얼 세대 중 자기 돈으로 첫 차를 구입한 사람의 비율은? | 미국, Breakfast Leadership/1,000명 | 39 |
| 미국 베이비붐 세대 중 자기 돈으로 첫 차를 구입한 사람의 비율은? | 미국, Breakfast Leadership/1,000명 | 56 |
| 한국인 중 최근 1년간 시위나 행진에 참여한 경험이 있는 사람의 비율은? | 한국, 서울연구원(2020) | 8 |
| 미국인 중 바닥에 떨어진 동전을 절대 줍지 않는 사람의 비율은? | 미국, YouGov/1,225명 | 6 |
| 영국 여성 중 나쁜 머리를 자르고 울어본 경험이 있는 사람의 비율은? | 영국Voucher/2,395명 | 23 |
| 미국 여성 중 나쁜 머리를 자르고 울어본 경험이 있는 사람의 비율은? | 미국Essence/1,000명 | 26 |
| 미국인 중 영화관에서 팝콘을 절대 먹지 않는 사람의 비율은? | 미국, UCOP/온라인(2021) | 5 |
| 미국 남성 중 매일 우유를 1잔 이상 마시는 사람의 비율은? | 미국, USDA/2,000명 | 24 |
| 미국 여성 중 매일 우유를 1잔 이상 마시는 사람의 비율은? | 미국, USDA/2,000명 | 23 |
| 일본인 중 민트초코를 좋아하는 사람의 비율은? | 일본, At Home/1,457명 | 36 |
| 미국인 중 샤워 중 소변을 매일 보는 사람의 비율은? | 미국, Talker/2,000명 | 24 |
| 미국인 중 샤워 중 소변을 1년 내 경험한 적이 있는 사람의 비율은? | 미국, Talker/2,000명 | 45 |
| 미국인 중 누드 셀카를 보낸 적이 있는 사람의 비율은? | 미국, Bad Girls Bible/1,058명 | 40 |
| 전 세계 사람들 중 와이파이 농담 네임을 설정한 경험이 있는 사람의 비율은? | 글로벌, ExpressVPN/5,000명+ | 12 |
| 영국인 중 외출 시 불을 끄지 않고 나가는 사람의 비율은? | 영국, Utility Design/대표집단 | 21 |
| 전 세계 스마트폰 사용자 중 아이폰을 사용하는 사람의 비율은? | 글로벌, Statista(2025) | 29 |
| 미국 성인 중 치아 미백 경험이 있는 사람의 비율은? | 미국, ALPINE White/Racounter(2023) | 32 |
| 미국 남성 중 범퍼스티커를 부착한 경험이 있는 사람의 비율은? | 미국, Cheap Car Insurance/2,000명 | 50 |
| 미국 여성 중 범퍼스티커를 부착한 경험이 있는 사람의 비율은? | 미국, Cheap Car Insurance/2,000명 | 63 |
| 미국 남부 지역 사람들 중 범퍼스티커를 부착한 경험이 있는 사람의 비율은? | 미국, Cheap Car Insurance/2,000명 | 68 |
| 미국 어린이/청소년 중 SNS에서 낯선 사람과 온라인 대화를 해본 경험이 있는 사람의 비율은? | 미국, Center for Cyber Safety 등 | 40 |
| 영국인 중 일기나 다이어리를 쓰는 사람의 비율은? | 영국, Literacy Trust/70,000명 | 30 |
| 영국인 중 매일 일기나 다이어리를 쓰는 사람의 비율은? | 영국, Literacy Trust/70,000명 | 24 |
| 영국 18~24세 중 술집에서 쫓겨난 경험이 있는 사람의 비율은? | 영국, Drinkaware/1,100명(18~24세) | 5 |
| 미국인 중 1년 내 경찰서에 간 적이 있는 사람의 비율은? | 미국, BJS/49,200,000명 | 19 |
| 영국인 중 고환 요리를 먹겠다고 답한 사람의 비율은? | 영국, YouGov/2,000명 | 10 |
| 전 세계 사람들 중 최근 1달 내 인터넷 기록을 삭제한 적이 있는 사람의 비율은? | 글로벌, NordVPN/1,000명+ | 33 |
| 미국인 중 크록스를 소유한 경험이 있는 사람의 비율은? | 미국, FreakyShoes(2024) | 19 |
| 미국인 중 하루 이상 농장 일을 해본 경험이 있는 사람의 비율은? | 미국, USDA(2022) | 40 |
| 미국인 중 카지노에 가본 경험이 있는 사람의 비율은? | 미국, American Gaming Assoc./2,000명 | 55 |
| 영국 18~22세 중 리얼리티쇼에 투표한 경험이 있는 사람의 비율은? | 영국, 방송사/2015 | 33 |
| 미국인 중 집이 지저분해서 집 데이트를 피한 경험이 있는 사람의 비율은? | 미국, Essence·UC Berkley/2,000명 | 15 |
| 미국인 중 악기 연주가 가능한 사람의 비율은? | 미국, 각 설문 | 66 |
| 영국인 중 악기 연주가 가능한 사람의 비율은? | 영국, 각 설문 | 74 |
| 미국인 중 펫과 입맞춤한 경험이 있는 사람의 비율은? | 미국, 조사(2022) | 52 |
| 미국인 중 모르는 번호 전화를 자주 받는 사람의 비율은? | 미국, Pew/YouGov | 19 |
| 미국인 중 모르는 번호 전화를 절대 받지 않는 사람의 비율은? | 미국, Pew/YouGov | 41 |
| 미국 MMO 게임 플레이어 중 현질(현금결제) 경험이 있는 사람의 비율은? | 미국, Top Dollar/1,000명 | 89 |
| 미국 모바일 게임 플레이어 중 현질(현금결제) 경험이 있는 사람의 비율은? | 미국, SuperData/3,000명 | 51 |
| 미국인 중 보드게임을 선호하는 사람의 비율은? | 미국, YouGov·Board Game Stats | 21 |
| 미국인 중 광대를 싫어하는 사람의 비율은? | 미국, Rasmussen/1,000명, Vox/1,999명 | 43 |
| 미국인 중 광대를 무서워하는 사람의 비율은? | 미국, Rasmussen/1,000명, Vox/1,999명 | 12 |
| 미국인 중 결혼할 계획이 없는 사람의 비율은? | 미국, Pew/1,003명 | 23 |
| 영국 미혼자 중 결혼할 계획이 없는 사람의 비율은? | 영국 BBC | 38 |
| 전 세계 사람들 중 휘파람을 못 부는 사람의 비율은? | 글로벌 추정 | 28 |
| 미국인 중 달 착륙이 가짜라고 믿는 사람의 비율은? | 미국, Gallup/1,002명 | 6 |
| 전 세계 사람들 중 달 착륙이 가짜라고 믿는 사람의 비율은? | 글로벌, YouGov | 9 |
| 미국 가정 중 수족관(어항)을 보유하고 있는 가정의 비율은? | 미국, APPA/30,000가구 | 6 |
